student_alias,week_offset,expected_count,submitted_count
st_01,0,1,1
st_01,1,1,1
st_01,2,1,1
st_01,3,1,1
st_01,4,1,1
st_01,5,1,1
st_01,6,1,1
st_01,7,1,1
st_01,8,1,1
st_01,9,1,1
st_01,10,1,1
st_01,11,1,1
st_02,0,1,1
st_02,1,1,1
st_02,2,1,1
st_02,3,1,1
st_02,4,1,1
st_02,5,1,1
st_02,6,1,1
st_02,7,1,1
st_02,8,1,1
st_02,9,1,1
st_02,10,1,1
st_02,11,1,1
st_03,0,1,0
st_03,1,1,1
st_03,2,1,1
st_03,3,1,1
st_03,4,1,1
st_03,5,1,1
st_03,6,1,1
st_03,7,1,1
st_03,8,1,1
st_03,9,1,1
st_03,10,1,1
st_03,11,1,1
st_04,0,1,1
st_04,1,1,1
st_04,2,1,1
st_04,3,1,1
st_04,4,1,1
st_04,5,1,1
st_04,6,1,1
st_04,7,1,1
st_04,8,1,1
st_04,9,1,1
st_04,10,1,1
st_04,11,1,1
st_05,0,1,1
st_05,1,1,1
st_05,2,1,1
st_05,3,1,1
st_05,4,1,1
st_05,5,1,1
st_05,6,1,1
st_05,7,1,1
st_05,8,1,1
st_05,9,1,1
st_05,10,1,1
st_05,11,1,1
st_06,0,1,1
st_06,1,1,1
st_06,2,1,1
st_06,3,1,1
st_06,4,1,1
st_06,5,1,1
st_06,6,1,1
st_06,7,1,1
st_06,8,1,1
st_06,9,1,1
st_06,10,1,1
st_06,11,1,1
st_07,0,1,1
st_07,1,1,1
st_07,2,1,1
st_07,3,1,1
st_07,4,1,1
st_07,5,1,1
st_07,6,1,1
st_07,7,1,1
st_07,8,1,1
st_07,9,1,1
st_07,10,1,1
st_07,11,1,1
st_08,0,1,1
st_08,1,1,1
st_08,2,1,1
st_08,3,1,1
st_08,4,1,1
st_08,5,1,1
st_08,6,1,1
st_08,7,1,1
st_08,8,1,1
st_08,9,1,1
st_08,10,1,1
st_08,11,1,1
st_09,0,1,1
st_10,0,1,1
st_10,1,0,0
st_10,2,0,0
st_10,3,0,0
st_10,4,1,1
st_10,5,1,1
st_10,6,1,1
st_10,7,1,1
st_10,8,1,1
st_10,9,1,1
st_10,10,1,1
st_10,11,1,1
st_11,0,1,1
st_11,1,1,1
st_11,2,1,1
st_11,3,1,1
st_11,4,1,1
st_11,5,1,1
st_11,6,1,1
st_11,7,1,1
st_11,8,1,1
st_11,9,1,1
st_11,10,1,1
st_11,11,1,1
st_12,0,1,1
st_12,1,1,1
st_12,2,1,1
st_12,3,1,1
st_12,4,1,1
st_12,5,1,1
st_12,6,1,1
st_12,7,1,1
st_12,8,1,1
st_12,9,1,1
st_12,10,1,1
st_12,11,1,1
st_13,0,1,1
st_13,1,1,1
st_13,2,1,1
st_13,3,1,1
st_13,4,1,1
st_13,5,1,1
st_13,6,1,1
st_13,7,1,1
st_13,8,1,1
st_13,9,1,1
st_13,10,1,1
st_13,11,1,1
st_14,0,1,1
st_14,1,1,1
st_14,2,1,1
st_14,3,1,1
st_14,4,1,1
st_14,5,1,1
st_14,6,1,1
st_14,7,1,1
st_14,8,1,1
st_14,9,1,1
st_14,10,1,1
st_14,11,1,1
st_15,0,1,1
st_15,1,1,1
st_15,2,1,1
st_15,3,1,1
st_15,4,1,1
st_15,5,1,1
st_15,6,1,1
st_15,7,1,1
st_15,8,1,1
st_15,9,1,1
st_15,10,1,1
st_15,11,1,1
st_17,0,1,0
st_17,1,1,0
st_17,2,1,0
st_17,3,1,1
st_17,4,1,1
st_17,5,1,1
st_17,6,1,1
st_17,7,1,1
st_17,8,1,1
st_17,9,1,1
st_17,10,1,1
st_17,11,1,1
st_16,0,1,1
st_16,1,1,1
st_16,2,1,1
st_16,3,1,1
st_16,4,1,1
st_16,5,1,1
st_16,6,1,1
st_16,7,1,1
st_16,8,1,1
st_16,9,1,1
st_16,10,1,1
st_16,11,1,1
