항별연혁번호,고시번호,규정번호,결정근거번호,규정코드,제목,등록일시
1,4,221,1,한글 맞춤법,결정근거22,2018-10-17 18:09:00
2,5,238,1,한글 맞춤법,결정근거 테스트 입니다.,2018-10-17 18:14:00
3,4,225,1,한글 맞춤법,,2018-10-17 18:18:00
4,4,262,1,한글 맞춤법,결정근거 내용 입력 테스트,2018-10-19 11:35:00
5,7,673,1,국어의 로마자 표기법,국어심의회(1996. 3. 6.),2017-09-07 17:21:00
5,7,673,2,국어의 로마자 표기법,국어심의회(1997. 6. 4.),2017-09-07 17:21:00
5,7,673,3,국어의 로마자 표기법,국어심의회(1997. 6. 18.),2017-09-07 17:21:00
5,7,673,4,국어의 로마자 표기법,국어심의회(1997. 6. 26.),2017-09-07 17:21:00
5,7,673,5,국어의 로마자 표기법,국어심의회(1997. 7. 24.),2017-09-07 17:21:00
5,7,673,6,국어의 로마자 표기법,국어심의회(1999. 4. 6.),2017-09-07 17:21:00
5,7,673,7,국어의 로마자 표기법,국어심의회(2000. 6. 26.),2017-09-07 17:21:00
6,4,238,1,한글 맞춤법,국어심의회(1994. 12. 26.),2018-09-14 13:42:00
7,8,489,1,국어의 로마자 표기법,국어심의회(1978. 5-11.),2017-12-20 15:18:00
8,7,489,1,국어의 로마자 표기법,국어심의회(2000. 6. 26.),2017-12-20 15:20:00
8,7,489,2,국어의 로마자 표기법,국어심의회(1999. 4. 6.),2017-12-20 15:20:00
8,7,489,3,국어의 로마자 표기법,국어심의회(1997. 7. 24.),2017-12-20 15:20:00
8,7,489,4,국어의 로마자 표기법,국어심의회(1997. 6. 26.),2017-12-20 15:20:00
8,7,489,5,국어의 로마자 표기법,국어심의회(1997. 6. 18.),2017-12-20 15:20:00
8,7,489,6,국어의 로마자 표기법,국어심의회(1997. 6. 4.),2017-12-20 15:20:00
8,7,489,7,국어의 로마자 표기법,국어심의회(1996. 3. 6.),2017-12-20 15:20:00
8,7,489,8,국어의 로마자 표기법,국어심의회(1995. 12. 20.),2017-12-20 15:20:00
9,4,228,1,한글 맞춤법,결정 근거 추가 작성,2018-10-22 14:33:00
9,4,228,2,한글 맞춤법,국어규범정비위원회(2015. 9. 24.),2018-10-22 14:33:00
9,4,228,3,한글 맞춤법,국어심의회(2016. 11. 30.),2018-10-22 14:33:00
9,4,228,4,한글 맞춤법,결정 근거 추가추가,2018-10-22 14:33:00
10,1,686,1,외래어 표기법,국어심의회(2015. 3. 20.),2017-12-28 13:58:00
11,1,489,1,국어의 로마자 표기법,국어규범정비위원회(2015. 9. 24.),2017-12-20 15:22:00
11,1,489,2,국어의 로마자 표기법,국어심의회(2016. 11. 30.),2017-12-20 15:22:00
12,20,437,1,외래어 표기법,국어심의회(2012. 11. 30.),2017-12-28 13:57:00
13,20,511,1,외래어 표기법,국어심의회(2014. 8. 29.),2017-12-28 13:55:00
14,4,277,1,한글 맞춤법,국어심의회(2016. 11. 30.),2018-07-19 10:33:00
15,4,221,1,한글 맞춤법,12,2018-10-22 11:21:00
16,4,221,1,한글 맞춤법,1111,2018-10-17 10:40:00
17,5,238,1,한글 맞춤법,국어심의회(1994. 12. 26.),2019-01-17 21:15:00
18,5,252,1,한글 맞춤법,국어심의회(1994. 12. 26.),2019-01-18 14:50:00
19,4,221,1,한글 맞춤법,국어심의회(1994. 12. 26.),2018-10-22 11:07:00
20,4,222,1,한글 맞춤법,,2018-10-22 11:10:00
21,2,350,1,표준어 규정,국어심의회(1994. 12. 26.),2018-10-22 13:28:00
22,5,716,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-17 21:21:00
22,5,716,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-17 21:21:00
22,5,716,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-17 21:21:00
22,5,716,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-17 21:21:00
22,5,716,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-17 21:21:00
22,5,716,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-17 21:21:00
23,5,718,1,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-17 21:25:00
23,5,718,2,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-17 21:25:00
23,5,718,3,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-17 21:25:00
23,5,718,4,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-17 21:25:00
23,5,718,5,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-17 21:25:00
23,5,718,6,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-17 21:25:00
24,5,719,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-17 21:29:00
24,5,719,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-17 21:29:00
24,5,719,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-17 21:29:00
24,5,719,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-17 21:29:00
24,5,719,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-17 21:29:00
24,5,719,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-17 21:29:00
