고시번호,규정코드,고시이력번호,고시형태,선택고시번호,시행일,버전,고시제목,고시상태,고시상태일시,수정여부,등록일시
1,외래어 표기법,1000,신규고시,,2017-03-28 00:00:00,1,문화체육관광부 고시 제2017-14호(2017. 3. 28.),고시 발생,2021-04-01 00:00:00,N,2017-06-12 19:06:00
1,국어의 로마자 표기법,1000,신규고시,,2014-12-05 00:00:00,1,문화체육관광부 고시 제2014-42호(2014. 12. 5.),고시 발생,2019-09-04 00:00:00,N,2017-06-12 19:07:00
2,표준어 규정,1001,신규고시,,2017-03-28 00:00:00,1,문화체육관광부 고시 제2017-13호(2017. 3. 28.),고시 발생,2024-04-04 00:00:00,N,2017-06-12 15:21:00
2,국어의 로마자 표기법,999,이전고시,1,2000-07-07 00:00:00,1,문화관광부 고시 제2000-8호(2000. 7. 7.),고시 발생,2019-09-04 00:00:00,N,2018-06-07 11:25:00
2,외래어 표기법,999,이전고시,1,2014-12-05 00:00:00,1,문화체육관광부 고시 제2014-43호(2014. 12. 5.),고시 발생,2019-09-24 00:00:00,N,2018-10-30 14:15:00
3,표준어 규정,1000,이전고시,2,1989-03-01 00:00:00,1,문교부 고시 제88-2호(1988. 1. 19.),고시 발생,2019-08-05 00:00:00,N,2018-06-07 10:44:00
3,국어의 로마자 표기법,998,이전고시,2,1984-01-13 00:00:00,1,문교부 고시 제84-1호(1984. 1. 13.),고시 발생,2019-07-23 00:00:00,N,2018-06-07 13:59:00
4,한글 맞춤법,1003,신규고시,,2017-03-28 00:00:00,1,문화체육관광부 고시 제2017-12호(2017. 3. 28.),고시 발생,2024-04-04 00:00:00,N,2017-06-09 17:36:00
4,외래어 표기법,997,이전고시,3,2005-12-28 00:00:00,1,문화관광부 고시 제2005-32호(2005. 12. 28.),고시 발생,2019-09-24 00:00:00,N,2018-11-20 10:40:00
5,외래어 표기법,996,이전고시,3,2004-12-20 00:00:00,1,문화관광부 고시 제2004-11호(2004. 12. 20.),고시 발생,2019-09-24 00:00:00,N,2018-11-20 10:51:00
5,한글 맞춤법,1002,이전고시,4,2015-01-01 00:00:00,1,문화체육관광부 고시 제2014-39호(2014. 12. 5.),고시 발생,2019-08-22 00:00:00,N,2018-05-21 09:30:00
6,외래어 표기법,995,이전고시,5,1995-03-16 00:00:00,1,문화체육부 고시 제1995-8호(1995. 3. 16.),고시 발생,2019-09-24 00:00:00,N,2018-11-20 10:59:00
6,한글 맞춤법,1001,이전고시,5,1989-03-01 00:00:00,1,문교부 고시 제88-1호(1988. 1. 19.),고시 발생,2019-08-05 00:00:00,N,2018-05-23 15:26:00
7,외래어 표기법,994,이전고시,6,1992-11-27 00:00:00,1,문화부 고시 제1992-31호(1992. 11. 27.),고시 발생,2019-08-05 00:00:00,N,2018-11-20 11:14:00
8,외래어 표기법,993,이전고시,7,1986-01-07 00:00:00,1,문교부 고시 제85-11호(1986. 1. 7.),고시 발생,2019-08-05 00:00:00,N,2018-11-20 11:18:00
