북한규정번호,규정번호,고시번호,규정코드,주제어,내용,북한규정정렬순서,등록일시
1,221,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 총칙",조선말맞춤법은 단어에서 뜻을 가지는 매개 부분을 언제나 같게 적는 원칙을 기본으로 하면서 일부 경우 소리나는대로 적거나 관습을 따르는것을 허용한다.,0,2018-11-20 10:48:00
1,221,7,한글 맞춤법,입력,입력,0,2017-07-06 16:29:00
1,221,9,한글 맞춤법,ㅀ,ㅁㅎ,0,2017-06-22 14:11:00
1,222,4,한글 맞춤법,"조선말규범집(2010), 띄여쓰기규정 총칙",단어를 단위로 띄여쓰는것을 원칙으로 하되 글을 읽고 리해하기 쉽게 일부 경우에는 붙여쓴다.,0,2018-11-12 13:36:00
1,222,10,한글 맞춤법,"조선말규범집(2010), 맞춤법 제1장 제1항",조선어자모의 차례와 그 이름은 다음과 같다.ㄱ(기윽) ㄴ(니은) ㄷ(디읃) ㄹ(리을) ㅁ(미음) ㅂ(비읍) ㅅ(시읏)ㅇ(이응) ㅈ(지읒) ㅊ(치읓) ㅋ(키읔) ㅌ(티읕) ㅍ(피읖) ㅎ(히읗)ㄲ(된기윽) ㄸ(된디읃) ㅃ(된비읍) ㅆ(된시읏) ㅉ(된지읒)ㅏ(아) ㅑ(야) ㅓ(어) ㅕ(여) ㅗ(오) ㅛ(요) ㅜ(우)ㅠ(유) ㅡ(으) ㅣ(이) ㅐ(애) ㅒ(얘) ㅔ(에) ㅖ(예) ㅚ(외) ㅟ,0,2017-06-30 15:24:00
1,224,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제1장 제1항","조선어자모의 차례와 그 이름은 다음과 같다.ㄱ(기윽) ㄴ(니은) ㄷ(디읃) ㄹ(리을) ㅁ(미음) ㅂ(비읍) ㅅ(시읏)ㅇ(이응) ㅈ(지읒) ㅊ(치읓) ㅋ(키읔) ㅌ(티읕) ㅍ(피읖) ㅎ(히읗)ㄲ(된기윽) ㄸ(된디읃) ㅃ(된비읍) ㅆ(된시읏) ㅉ(된지읒)ㅏ(아) ㅑ(야) ㅓ(어) ㅕ(여) ㅗ(오) ㅛ(요) ㅜ(우)ㅠ(유) ㅡ(으) ㅣ(이) ㅐ(애) ㅒ(얘) ㅔ(에) ㅖ(예) ㅚ(외) ㅟ(위) ㅢ(의) ㅘ(와) ㅝ(워) ㅙ(왜) ㅞ(웨)자음글자의 이름은 각각 다음과 같이 부를수도 있다.(그), (느), (드), (르), (므), (브), (스), (으), (즈), (츠), (크), (트), (프), (흐), (끄), (뜨), (쁘), (쓰), (쯔)",0,2018-11-15 17:45:00
1,225,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제2장 제4항",한 형태부안의 두 모음사이에서 나는 자음은 혀옆소리가 아닌 경우 받침으로 적지 않는다. 옳음 그름 례: 겨누다 견우다 디디다 딛이다 미덥다 믿업다 메추리 멧추리 비치다 빛이다 소쿠리 속후리 시키다 식히다 지키다 직히다 여기다 역이다 기쁘다 깃브다 바싹 밧삭 부썩 붓석 해쓱하다 햇슥하다 아끼다 앗기다 여쭈다 엿주다 오빠 옵바 우뚝 웃둑 으뜸 읏듬,0,2019-04-08 15:18:00
1,227,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제2장 제3항","받침 ≪ㄷ, ㅌ, ㅅ, ㅆ, ㅈ, ㅊ≫ 가운데서 어느 하나로 적어야 할 까닭이 없는것은 관습대로 ≪ㅅ≫으로 적는다. 례: 무릇, 빗나가다, 사뭇, 숫돌, 첫째, 헛소리, 햇곡식, 얼핏, 읽으렷다",0,2019-01-14 16:48:00
1,227,10,한글 맞춤법,입력,입력,0,2017-07-06 16:03:00
1,228,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제7장 제26항","한자말에서 모음 ≪ㅖ≫가 들어있는 소리마디로는 ≪계≫, ≪례≫, ≪혜≫, ≪예≫만을 인정한다. 례: 계산, 계획, 례절, 례외, 실례, 세계, 혜택, 은혜, 연예대, 예술, 예지, 예약그러나 그 본래소리가 ≪게≫인 한자는 그대로 적는다. 례: 게시판, 게재, 게양대",1,2018-11-16 10:14:00
