용례번호,규정코드,외래어구분,대분류구분,중분류구분,한글표기,원어표기,로마자표기,국명,언어명,이표기1,이표기2,이표기3,오표기1,오표기2,오표기3,오표기4,오표기5,의미,출전,노출여부,등록일시,수정일시
1,한글 맞춤법,,,,다달이,,,,,,,,달달이,,,,,달마다.,,Y,2019-03-21 14:12:00,
1,표준어 규정,,,,끄나풀,,,,,,,,끄나불,,,,,길지 아니한 끈의 나부랭이.,,N,2018-03-21 10:43:00,2019-01-18 13:25:00
1,외래어 표기법,일반 용어,,,악티노이드,actinoid,,,,,,,액티노이드,,,,,「명」『화』 원자 번호 89의 악티늄에서 103의 로렌슘까지의 15개 원소를 통틀어 이르는 말.=악티늄족 원소.,,Y,2022-02-23 14:45:00,
1,국어의 로마자 표기법,,행정 구역,행정 구역,경원동,,Gyeongwon-dong,,,,,,Kyeongwon-dong,Kyŏng-won-dong,,,,,,Y,2019-01-24 14:32:00,
2,한글 맞춤법,,,,따님,,,,,,,,딸님,,,,,남의 딸을 높여 이르는 말.,,Y,2019-03-21 14:12:00,
2,표준어 규정,,,,나팔꽃,喇叭-,,,,,,,나발꽃,,,,,메꽃과의 한해살이풀.,,N,2018-03-21 10:43:00,2019-01-18 13:25:00
2,외래어 표기법,일반 용어,,,비아프라 전쟁,Biafra 전쟁,,,,,,,바이어프라 전쟁,,,,,"『역』 1967년부터 1970년까지, 분리 독립을 선언한 비아프라 공화국과 나이지리아 연방 사이의 전쟁.",,Y,2022-02-23 14:45:00,
2,국어의 로마자 표기법,,행정 구역,행정 구역,고강본동,,Gogangbon-dong,,,,,,Kogangbon-dong,,,,,,,Y,2019-01-24 14:32:00,
3,한글 맞춤법,,,,맏이,,,,,,,,마지,,,,,여러 형제자매 가운데서 제일 손위인 사람.,,Y,2019-03-21 14:12:00,
3,표준어 규정,,,,사글세,,,,,,,,삭월세,,,,,집이나 방을 다달이 빌려 쓰는 일. 또는 그 돈.,,N,2018-03-21 10:43:00,2019-01-18 13:26:00
3,외래어 표기법,일반 용어,,,쉐보레,Chevrolet,,,,,,,*시보레,,,,,"미국 제너럴 모터스사가 생산한 자동차 이름, 지엠대우에서 등록한 상표명 ※제53차 외래어 심의회에서 ‘시보레’로 정한 바 있으나 해당 회사에서 상표명을 수정함에 따라 ‘쉐보레’로 수정.",제95차 외래어 심의회,Y,2022-02-23 14:45:00,
3,국어의 로마자 표기법,,행정 구역,행정 구역,효자면,,Hyoja-myeon,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
4,한글 맞춤법,,,,백분율,百分率,,,,,,,백분률,,,,,전체 수량을 100으로 하여 그것에 대해 가지는 비율.,,Y,2019-03-21 14:12:00,
4,표준어 규정,,,,셋째,,,,,,,,세째,,,,,"‘제3, 세 개째’의 뜻.",,N,2018-03-21 10:43:00,2019-01-18 13:26:00
4,외래어 표기법,지명,,,체코슬로바키아,Czech and Slovak,,체코슬로바키아,,,,,,,,,,국명,제1차 외래어 심의회,Y,2022-02-23 14:45:00,2023-01-09 17:40:00
4,국어의 로마자 표기법,,행정 구역,행정 구역,효자동3가,,Hyoja-dong 3-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
5,한글 맞춤법,,,,부딪뜨리다,,,,,부딪트리다,,,,,,,,세차게 물체와 물체가 마주 닿게 하다.,,Y,2019-03-21 14:12:00,
5,표준어 규정,,,,넷째,,,,,,,,네째,,,,,"‘제4, 네 개째’의 뜻.",,N,2018-03-21 10:43:00,2019-01-18 13:25:00
5,외래어 표기법,지명,,,체코,Czech Republic,,체코,,,,,,,,,,국명,제5차 외래어 심의회,Y,2022-02-23 14:45:00,2023-01-09 17:40:00
5,국어의 로마자 표기법,,행정 구역,행정 구역,효자동2가,,Hyoja-dong 2-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
