항별연혁번호,규정번호,고시번호,규정코드,규정경로,시행일,구분,개정요약,이전내용,개정내용,항별연혁설명,노출여부,수정여부,등록일시,수정일시
2,238,5,한글 맞춤법,본문>제4장>제2절>제18항,2015-01-01 00:00:00,부,,,"용례 삭제: '3. 어간의 끝 'ㅎ'이 줄어질 적' 용례 '그럽니다', '까맙니다', '동그랍니다', '퍼럽니다' '하얍니다' 삭제","표준어 사정 원칙 제17항에 상충하는 용례인 ""그럽니다, 까맙니다, 동그랍니다, 퍼럽니다, 하얍니다""를 용례에서 삭제함. 표준어 사정 원칙 제17항에서는 ‘-읍니다’가 아닌 ‘-습니다’를 표준형으로 인정함. ‘그렇- + -습니다’와 같이 모음 앞에서 받침 ‘ㅎ’ 탈락하는 환경이 아니므로, ‘ㅎ’이 탈락한 형태인 ‘그럽니다, 까맙니다, 동그랍니다, 퍼럽니다, 하얍니다'를 인정하지 않음.",Y,Y,2017-06-14 14:10:00,2018-10-17 18:14:00
5,673,7,국어의 로마자 표기법,본문>제1장>제3항,2000-07-07 00:00:00,부,,,"조항 삭제: ""1음운 1기호의 표기를 원칙으로 한다""",기존 규정이 한국어 1음운을 로마자 두 글자(digraph)로써 표기하지 않는다는 의미와 한국어 1음운을 환경에 따라 다르게 표기하지 않는다는 중의적인 의미를 갖고 있어 모호했음. 더욱이 1음운을 두 글자로써 표기하지 않는다는 원칙은 예외가 너무 많아 원칙으로서의 의의가 별로 없었음.,Y,Y,2017-06-20 17:37:00,2017-09-07 17:21:00
6,238,4,한글 맞춤법,본문>제4장>제2절>제18항,2015-01-01 00:00:00,부,,,"용례 삭제: ""그럽니다, 까맙니다, 동그랍니다, 퍼럽니다, 하얍니다"" 그렇습니다.","표준어 사정 원칙 제17항에 따르면, '그렇습니다, 까맣습니다, 동그랗습니다, 퍼렇습니다, 하얗습니다'가 옳은 표현임. 상충하는 용례를 삭제함.",Y,Y,2017-08-16 13:23:00,2018-09-14 13:42:00
7,489,8,국어의 로마자 표기법,본문>제3장>제8항,1984-01-13 00:00:00,부,,,조항 생성,국어의 로마자 표기법을 고시함에 따라 조항이 생성됨.,Y,Y,2017-09-12 17:18:00,2017-12-20 15:18:00
8,489,7,국어의 로마자 표기법,본문>제3장>제8항,2000-07-07 00:00:00,부,,,기존 규정 삭제 및 조항 신설,학술적 용도에서 한글 복원을 전제로 할 경우에는 한글 맞춤법에 따른 글자를 그대로 로마자로 옮기도록 함.(표준 발음에 따라 로마자 표기를 할 수 없고 글자대로 표기해야 할 경우의 표기 기준을 명시함.),Y,Y,2017-09-12 17:21:00,2017-12-20 15:20:00
10,686,1,외래어 표기법,본문>제4장>제3절>제5항,2017-03-28 00:00:00,부,,,조항 삭제,"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정을 삭제함에 따라, 본래 제5항에 있던 내용을 제4항으로 올리고 제5항은 삭제함.",Y,Y,2017-09-13 15:40:00,2017-12-28 13:58:00
11,489,1,국어의 로마자 표기법,본문>제3장>제8항,2017-03-28 00:00:00,부,,,"띄어쓰기 수정: ""이 때"" → ""이때""","규정문에 나오는 ""이 때""는 <표준국어대사전> 기준으로 한 단어이므로, ""이때""로 붙여 쓰는 것으로 수정함.",Y,Y,2017-12-20 15:22:00,
12,437,20,외래어 표기법,본문>제2장>표 4,2014-12-05 00:00:00,부,,,일부 추가: “ニャ ニュ ニョ / 냐 뉴 뇨 / 냐 뉴 뇨”,"일본어의 가나와 한글 대조표'에 일본의 인명과 지명에 사용되는 ‘ニャ(냐), ニュ(뉴), ニョ(뇨)’가 누락되어 있어서 추가함.",Y,Y,2017-12-20 16:26:00,2017-12-28 13:57:00
13,511,20,외래어 표기법,본문>제3장>제2절>제1항,2014-12-05 00:00:00,부,,,"용례 수정: ""Razur[razuːr] 라주어"" → ""Rasur[razuːr] 라주어""","독일어의 표기 세칙에서, 제1항의 2에 제시된 용례 'Razur'는 'Rasur'의 오기이므로 수정함.('Rasur'는 '삭제'라는 뜻의 독일어임.)",Y,Y,2017-12-20 16:28:00,2017-12-28 13:55:00
17,238,5,한글 맞춤법,본문>제4장>제2절>제18항,2015-01-01 00:00:00,부,용례 삭제,그렇다: 그러니 그럴 그러면그럽니다그러오 까맣다: 까마니 까말 까마면까맙니다까마오 동그랗다: 동그라니 동그랄 동그라면동그랍니다동그라오 퍼렇다: 퍼러니 퍼럴 퍼러면퍼럽니다퍼러오 하얗다: 하야니 하얄 하야면하얍니다하야오,그렇다: 그러니 그럴 그러면 그러오 까맣다: 까마니 까말 까마면 까마오 동그랗다: 동그라니 동그랄 동그라면 동그라오 퍼렇다: 퍼러니 퍼럴 퍼러면 퍼러오 하얗다: 하야니 하얄 하야면 하야오,"표준어 사정 원칙 제17항에 상충하는 용례인 ""그럽니다, 까맙니다, 동그랍니다, 퍼럽니다, 하얍니다""를 용례에서 삭제함. 표준어 사정 원칙 제17항에서는 ‘-읍니다’가 아닌 ‘-습니다’를 표준형으로 인정함. ‘그렇- + -습니다’와 같이 모음 앞에서 받침 ‘ㅎ’ 탈락하는 환경이 아니므로, ‘ㅎ’이 탈락한 형태인 ‘그럽니다, 까맙니다…’를 인정하지 않음.",Y,N,2018-10-19 14:43:00,2019-01-17 21:15:00
